avgRoomPerimeter,rotError.numSamples.mean
112.337263592,8502.88888889
288.41201767,4291.20833333
1364.92084998,5073.26086957
2504.05291544,2208.2
397.608743609,533.736842105
158.574001973,281.035714286
635.88614888,375.75
108.968542951,3820.06451613
1528.34984877,4729.04166667
759.248936383,3357.30434783
907.63600807,1109.95652174
529.397177254,244.540540541
720.429585269,830.8
443.595373769,180.0
231.338538533,450.733333333
655.562672363,457.388888889
162.29472605,628.1
1446.42707976,954.971428571
1054.23420007,914.034482759
539.066583437,2059.76470588
99.2869208384,8900.875
252.355785617,2142.7826087
191.722481992,9951.88235294
379.091758694,5881.21428571
262.262352826,3028.03571429
191.601876363,12817.0714286
294.819744545,2496.67647059
252.559291854,8121.34782609
632.972242461,2459.1
707.007128463,3998.88235294
152.416788175,716.857142857
511.089909024,843.47826087
855.595083334,3702.36363636
3522.51982697,6648.12
345.9363477,4365.44444444
650.998139899,4280.06666667
120.176589697,1701.35294118
264.066070953,3879.09375
462.675505543,189.695652174
381.143373035,1054.375
758.966768091,2765.85185185
1344.71238759,1206.76923077
351.259423682,6532.5
575.918221531,3173.27272727
973.132170798,2456.83333333
557.871193445,2281.8
1503.33670222,6061.31034483
774.553634232,8307.2
555.98246505,2598.6
2161.19207626,3927.24390244
1410.68850812,1492.89285714
2284.5563757,3379.41666667
511.212845367,655.766666667
630.752429175,964.583333333
894.483397546,1611.27777778
1099.36562113,3842.36
630.451496107,1384.0
1194.83545134,3280.36666667
1792.08753811,2484.47619048
525.16858287,1119.77419355
391.018440217,581.0
645.16136179,510.341463415
2075.92330798,1274.18518519
1164.69698299,1420.46666667
248.223687618,4234.0625
874.059231919,754.666666667
470.90808455,3208.20833333
527.296427239,407.793103448
844.944967104,2487.5
219.335679185,2474.48571429
558.011810887,609.074074074
1406.85593365,2976.25
682.400594462,461.08
2023.67071564,1971.81578947

5-Fold RMSE:,3686.49107724,2236.07101361,1740.95693407,2907.26864947,2907.26864947
Average 5-Fold RMSE:,2528.60872581

5-Fold rsquared:,-0.0183125302529,-0.0664611862486,-0.0161110601545,-0.00572104283007,-0.00572104283007
Average 5-Fold rsquared:,-0.0324625711724
