numRooms,transError.mean.std
79,0.187622165382
44,0.117509395197
43,0.150879627982
27,0.0626106276575
23,0.0363222141704
10,0.0240230927776
12,0.0231752964896
48,0.244942705536
47,0.118403445404
25,0.25684750383
22,0.0468835943002
15,0.0525575836354
17,0.0652650350355
15,0.0380406378831
16,0.048698079138
16,0.0471928668924
16,0.015699391456
16,0.0795487657361
25,0.0609893108178
34,0.0634488000674
50,0.157331633444
22,0.225853461955
45,0.335983825039
26,0.192289958812
29,0.0925116985357
34,0.173005460782
20,0.150862439925
22,0.113382526137
20,0.0940625752148
31,0.228409668405
39,0.0484971177734
38,0.0700468458533
35,0.287812908678
25,0.109859637786
65,0.30823195051
46,0.251954545215
49,0.158847840005
52,0.112238353718
13,0.0402882774962
40,0.0825251437691
33,0.1264444763
17,0.0703616797672
42,0.114763250904
23,0.0896356459078
21,0.185040710074
46,0.14370205831
35,0.281651273406
40,0.217198105027
27,0.0868164172079
19,0.121972989288
17,0.0844506183324
27,0.0812632064472
21,0.0478290808047
20,0.165411061738
23,0.063039235743
39,0.0862053699096
24,0.123650418782
25,0.166220167829
20,0.205108169667
30,0.067525357097
23,0.0711609699581
16,0.0754858045801
19,0.0664587250454
17,0.06593977187
35,0.17018166168
21,0.060063217006
30,0.14039673261
16,0.0600886637503
37,0.141798879212
36,0.259118831645
16,0.0554747715395
24,0.22720282762
19,0.0490437767207
31,0.0852449136299

5-Fold RMSE:,0.043056917202,0.0640487749722,0.074294965762,0.0615051151852,0.0615051151852
Average 5-Fold RMSE:,0.0669485457557

5-Fold rsquared:,-0.0749910506243,0.374615240228,0.332413867368,-0.0172501948985,-0.0172501948985
Average 5-Fold rsquared:,0.198259838154
