topology_radius,transError.std.std
4,0.226872799473
3,0.0888341978949
3,0.0536568207547
3,0.0531756045959
1,0.0388866547706
3,0.156091446153
3,0.204774691356
4,0.189473879231
3,0.0429963941514
3,0.0500640527086
3,0.160692173355
3,0.0364422115207
3,0.115579807708
1,0.0365550743802
2,0.0491585794691
1,0.0890782760547
4,0.0933187599678
1,0.138087316178
3,0.258353516079
2,0.0779121061829
3,0.259494989064
2,0.214149069586
2,0.160472378798
3,0.578481679757
2,0.14193715639
2,0.390698889866
1,0.145785206544
4,0.196101691352
7,0.0540020208264
4,0.0639730578518
3,0.0642383791162
4,0.258741211908
5,0.131888311652
4,0.126072926139
4,0.124697260981
4,0.192108034661
2,0.0517409309399
4,0.150426578073
4,0.141387393986
2,0.0819226964463
5,0.284322556163
3,0.268748777682
3,0.0698040570684
6,0.0777311359681
2,0.221015525555
4,0.170190402896
4,0.10685390071
2,0.237490765274
2,0.110170635227
4,0.172007018126
2,0.0621497895481
3,0.110615023941
3,0.126944549297
4,0.109794391941
3,0.0809823194632
4,0.12386252947
3,0.0966363792344
5,0.064450068138
3,0.0692099506632
2,0.075847820682
3,0.113532147819
3,0.129796983767
4,0.192206970562
3,0.105334107197
2,0.145524364411
1,0.0596299714663
3,0.130217601143
3,0.0974594238893
3,0.0743403423368
3,0.167837658831
3,0.168709916846
3,0.0562958637779
3,0.116143743091
4,0.206076064429

5-Fold RMSE:,0.0685822390741,0.136442930295,0.0784173523903,0.0850238171703,0.0850238171703
Average 5-Fold RMSE:,0.0880533185326

5-Fold rsquared:,-0.0696496017977,-0.316596521749,-0.259977095471,0.00662897152267,0.00662897152267
Average 5-Fold rsquared:,-0.144760684877
