topology_nodes,rotError.numSamples.std
35,4574.73377354
42,3504.51641908
41,4516.12281977
25,1068.57195671
13,257.853455343
10,141.850142792
12,182.929460449
47,3510.04999446
38,3935.77212331
24,4927.43898941
19,363.803157271
15,147.306005198
17,2626.374729
15,108.084781537
16,1084.0791156
16,183.153742003
15,273.731419461
16,642.991734482
25,702.453163625
3,1510.28589149
47,14727.7449601
19,2308.33572565
43,15286.2712796
26,8108.00744572
29,2866.01159506
34,24073.9681947
19,2219.38941949
20,8919.29941979
19,1725.55951023
30,3228.66340734
37,308.046732032
37,701.623265043
35,12253.024445
25,5103.87888822
63,12190.977691
46,10206.0904135
48,1947.88730019
52,4006.02426321
13,189.939449112
40,2139.14201672
32,4015.83521781
17,968.189122803
42,5532.41528027
23,1328.17120275
21,4913.35122961
46,897.213776087
30,12782.2996962
40,15884.6134701
27,3217.32940007
19,4350.15152402
16,1687.4634671
27,2072.14962693
21,383.599850828
20,2014.30380687
23,1917.94562562
38,2174.75877982
24,1102.42140417
25,2925.49410622
20,3355.85891523
30,490.102011085
22,432.474999277
16,473.088895362
19,606.727838005
17,1136.24840985
35,4289.42952164
21,803.781894131
30,1881.63948857
16,316.936671506
37,2151.72678867
35,5518.65907301
16,350.849437575
24,9293.22106863
19,257.78020405
30,1433.91482635

5-Fold RMSE:,3189.77042316,3027.75890339,2176.97558027,4778.06884035,4778.06884035
Average 5-Fold RMSE:,3843.99579736

5-Fold rsquared:,0.144150028573,0.0228824100729,0.469820400804,0.305406384771,0.305406384771
Average 5-Fold rsquared:,0.220125680194
