voronoi_nodes,rotError.mean.std
640,0.0051668558009
462,0.127889138475
256,0.00340156190411
246,0.000529720236435
175,0.00274200687267
60,0.000868010041646
93,0.000988470995105
223,0.00429956664055
395,0.00305267434636
291,0.00325076749757
163,0.00162224709611
113,0.00122251686463
105,0.00481593435646
81,0.00139556645188
81,0.00295561424787
115,0.00086073843683
85,0.00087903722649
70,0.00234359606884
228,0.00196300121238
289,0.00475371639426
278,0.00397965134483
156,0.00194485015484
431,0.011229552043
244,0.00728678377751
201,0.0240067761271
337,0.00587163384417
140,0.00364257671701
154,0.00193137045088
85,0.00350567334933
250,0.011540864302
221,0.00169851493892
285,0.00387832424544
283,0.018982936371
190,0.00268365863701
530,0.00951347370549
427,0.0113683540574
301,0.0102189055546
350,0.00279617073466
76,0.00119649202124
215,0.00373159733983
230,0.00435481252733
105,0.00284573492967
316,0.00405173873492
295,0.00258198449888
129,0.00935193660277
211,0.00120964368307
278,0.00544625576124
301,0.0122018643728
189,0.00687929093309
229,0.00319700990545
174,0.00317220657184
272,0.00212895982035
143,0.00283126115696
183,0.00479663990611
146,0.00169591170353
263,0.00167382816322
170,0.00464877681209
250,0.00631663664558
159,0.00267358431567
191,0.00290650421563
172,0.00604227499064
166,0.00633767378436
22,0.000897543822652
124,0.00296056940863
253,0.00514108200771
146,0.0018376947053
243,0.00559589829449
126,0.0018378217927
229,0.00470429841354
281,0.00584007398849
215,0.00290145318257
194,0.0102512932546
246,0.00140772643706
222,0.00163527502515

5-Fold RMSE:,0.00595185221638,0.00829039650181,0.0314514711319,0.00739197309412,0.00739197309412
Average 5-Fold RMSE:,0.0115456263684

5-Fold rsquared:,-0.579354667709,-6.33726685916,-0.0242387761403,-1.74619597028,-1.74619597028
Average 5-Fold rsquared:,-2.61482385667
