voronoi_edges,rotError.std.std
651,0.00568699616952
469,0.218382402573
264,0.00580885788305
288,0.00238204213415
178,0.00443794731193
61,0.00221181244909
92,0.00124875791759
229,0.00670812510145
404,0.00526352379524
305,0.00913242766636
171,0.00109827381314
112,0.001820392131
104,0.0115835540733
82,0.00242628577179
80,0.00881799279479
114,0.00155158807808
85,0.00133593491358
69,0.0033034977955
234,0.00427790386373
297,0.010818340273
285,0.00939720652641
159,0.00241009476396
449,0.0296182606338
257,0.0239013077489
210,0.0967031592699
337,0.0220331329296
147,0.00693154786835
155,0.00719629727175
85,0.00729724936466
253,0.00928123177602
220,0.00146296711826
292,0.00345204746565
287,0.0235237306324
189,0.00431503222254
562,0.0109164373752
437,0.0384564311949
303,0.0101640285899
356,0.0060490277033
75,0.00237160519209
216,0.00533292057631
235,0.00798833628714
104,0.00480609803905
320,0.00931314053418
321,0.0035854966117
128,0.0090749635613
211,0.00197943739482
279,0.00752716726779
315,0.0245157322818
193,0.0131644023743
255,0.00816947942897
175,0.00596216482169
282,0.00468461053166
142,0.00290363576381
190,0.00664701953873
146,0.00593740494427
265,0.0031691424541
170,0.00408505580913
263,0.0074098626606
166,0.00358325893136
192,0.00295568783369
172,0.00587875703598
166,0.00492444947089
24,0.00279567043769
123,0.00668196581096
253,0.00806206474837
145,0.00651974844058
246,0.0102982308024
125,0.00348419817228
232,0.00773341395644
295,0.00606781674054
214,0.0034764729288
195,0.0129904271285
248,0.00201918335413
226,0.00303309851547

5-Fold RMSE:,0.00786137850059,0.0157276420467,0.00686782095079,0.0575920787396,0.0575920787396
Average 5-Fold RMSE:,0.0199671986417

5-Fold rsquared:,-0.00251483381756,-0.103431999151,-7.28764604025,0.526521933228,0.526521933228
Average 5-Fold rsquared:,-1.47515558388
