perimeter,transError.mean.std
383.710764507,0.187622165382
476.307895935,0.117509395197
919.385854688,0.150879627982
845.094809668,0.0626106276575
400.830204991,0.0363222141704
104.798400009,0.0240230927776
297.255462487,0.0231752964896
175.184877189,0.244942705536
975.710287307,0.118403445404
661.864870045,0.25684750383
461.959330453,0.0468835943002
301.700928702,0.0525575836354
395.362041332,0.0652650350355
266.76921056,0.0380406378831
190.183623926,0.048698079138
384.28900186,0.0471928668924
169.305586218,0.015699391456
547.895428741,0.0795487657361
663.883925852,0.0609893108178
569.465956684,0.0634488000674
277.253593842,0.157331633444
186.385475943,0.225853461955
266.853191731,0.335983825039
251.520417083,0.192289958812
217.978099666,0.0925116985357
413.568733758,0.173005460782
161.46910584,0.150862439925
333.320883456,0.113382526137
348.726342602,0.0940625752148
582.414195881,0.228409668405
416.287346717,0.0484971177734
602.450956601,0.0700468458533
625.529006956,0.287812908678
1411.67024864,0.109859637786
687.006424965,0.30823195051
804.802666284,0.251954545215
325.157616123,0.158847840005
394.105092531,0.112238353718
254.907573617,0.0402882774962
512.058047582,0.0825251437691
574.390274931,0.1264444763
577.749460923,0.0703616797672
462.202334131,0.114763250904
542.151199633,0.0896356459078
607.353417602,0.185040710074
895.078361009,0.14370205831
810.652971073,0.281651273406
791.247099826,0.217198105027
523.504495381,0.0868164172079
642.501394841,0.121972989288
438.695516966,0.0844506183324
921.061208435,0.0812632064472
425.51985706,0.0478290808047
383.553654629,0.165411061738
611.004216827,0.063039235743
1094.05395026,0.0862053699096
396.724658884,0.123650418782
623.982104305,0.166220167829
673.355919531,0.205108169667
614.642509546,0.067525357097
383.053807066,0.0711609699581
377.554649486,0.0754858045801
798.372831181,0.0664587250454
541.589338691,0.06593977187
479.641424654,0.17018166168
562.534496366,0.060063217006
398.050280897,0.14039673261
346.945664463,0.0600886637503
629.847164937,0.141798879212
243.197749682,0.259118831645
431.988152916,0.0554747715395
609.954365264,0.22720282762
446.124179764,0.0490437767207
1033.37498647,0.0852449136299

5-Fold RMSE:,0.0621000603724,0.0610941975851,0.104842561728,0.0853272475422,0.0853272475422
Average 5-Fold RMSE:,0.0756112085379

5-Fold rsquared:,-0.032523161222,-0.024430885333,-0.041214563462,-0.0485927751766,-0.0485927751766
Average 5-Fold rsquared:,-0.0301095619815
