voronoi_radius,rotError.mean.mean
27,0.0160152777778
29,0.0361834583333
14,0.0081227826087
18,0.00518106666667
15,0.00745268421053
6,0.00380332142857
11,0.00530514285714
19,0.0113298387097
20,0.0100377916667
19,0.00991973913043
20,0.00654347826087
16,0.00574740540541
14,0.0063216
10,0.00609472
10,0.00695146666667
13,0.00522869444444
9,0.00419643333333
10,0.00586774285714
20,0.0080334137931
19,0.00957582352941
21,0.0118060833333
16,0.00680830434783
40,0.0128010294118
22,0.0102644642857
11,0.0246713571429
16,0.007418
9,0.00877191176471
14,0.00719391304348
12,0.0116620333333
23,0.0221704705882
22,0.00773861904762
19,0.0076692173913
17,0.0124832272727
18,0.0090522
23,0.0147335925926
28,0.0128114
21,0.0131788235294
22,0.0105658125
8,0.00586613043478
17,0.0116517083333
18,0.010821
12,0.00736969230769
20,0.012007125
26,0.00962695454545
17,0.0105803333333
22,0.0089074
20,0.0112168965517
20,0.0137696
14,0.0132841714286
20,0.0079603902439
14,0.0102650357143
16,0.0086655
16,0.0111931666667
12,0.00875566666667
17,0.00787177777778
23,0.0083908
18,0.0134036428571
16,0.0111335666667
14,0.00665304761905
23,0.0100887741935
15,0.0114415
14,0.0108286829268
4,0.00525488888889
16,0.0074369
19,0.01176809375
14,0.00650085185185
19,0.0117556666667
13,0.00662575862069
18,0.0114198846154
15,0.00779974285714
18,0.00717885185185
16,0.00862746428571
20,0.00584372
15,0.0060295

5-Fold RMSE:,0.00772799040321,0.00179683980807,0.00335377507336,0.00300339163175,0.00300339163175
Average 5-Fold RMSE:,0.00372385507636

5-Fold rsquared:,0.367006786799,0.346400833653,0.0505462477947,0.111492214444,0.111492214444
Average 5-Fold rsquared:,0.219859656708
