voronoi_diameter,rotError.mean.mean
52,0.0160152777778
49,0.0361834583333
28,0.0081227826087
36,0.00518106666667
29,0.00745268421053
11,0.00380332142857
22,0.00530514285714
26,0.0113298387097
39,0.0100377916667
38,0.00991973913043
39,0.00654347826087
31,0.00574740540541
27,0.0063216
19,0.00609472
19,0.00695146666667
26,0.00522869444444
16,0.00419643333333
20,0.00586774285714
39,0.0080334137931
38,0.00957582352941
41,0.0118060833333
24,0.00680830434783
51,0.0128010294118
44,0.0102644642857
21,0.0246713571429
31,0.007418
18,0.00877191176471
27,0.00719391304348
16,0.0116620333333
45,0.0221704705882
43,0.00773861904762
37,0.0076692173913
30,0.0124832272727
36,0.0090522
44,0.0147335925926
55,0.0128114
38,0.0131788235294
41,0.0105658125
15,0.00586613043478
28,0.0116517083333
31,0.010821
24,0.00736969230769
39,0.012007125
51,0.00962695454545
34,0.0105803333333
43,0.0089074
34,0.0112168965517
40,0.0137696
28,0.0132841714286
40,0.0079603902439
24,0.0102650357143
31,0.0086655
31,0.0111931666667
23,0.00875566666667
33,0.00787177777778
45,0.0083908
26,0.0134036428571
31,0.0111335666667
27,0.00665304761905
46,0.0100887741935
30,0.0114415
28,0.0108286829268
8,0.00525488888889
31,0.0074369
38,0.01176809375
28,0.00650085185185
31,0.0117556666667
25,0.00662575862069
32,0.0114198846154
27,0.00779974285714
35,0.00717885185185
30,0.00862746428571
35,0.00584372
29,0.0060295

5-Fold RMSE:,0.00329457332453,0.00281125186513,0.00515691849145,0.00280875660635,0.00280875660635
Average 5-Fold RMSE:,0.00420204667775

5-Fold rsquared:,0.238910548948,0.180320256011,-0.0477001144718,-0.0648945103722,-0.0648945103722
Average 5-Fold rsquared:,0.0603347615769
