voronoi_std_eigenvector_centrality,transError.mean.std
0.0393741635952,0.187622165382
0.046391247244,0.117509395197
0.061688422116,0.150879627982
0.0628848579041,0.0626106276575
0.0735873626594,0.0363222141704
0.122421627337,0.0240230927776
0.100010706049,0.0231752964896
0.0665140899304,0.244942705536
0.0499869171086,0.118403445404
0.0583048887054,0.25684750383
0.0772599538281,0.0468835943002
0.092355006202,0.0525575836354
0.0942375781658,0.0652650350355
0.107306514034,0.0380406378831
0.107707055274,0.048698079138
0.0906409739223,0.0471928668924
0.104297507721,0.015699391456
0.115439442184,0.0795487657361
0.0650409083878,0.0609893108178
0.0583229555488,0.0634488000674
0.0594842394656,0.157331633444
0.0788215763143,0.225853461955
0.0480134270942,0.335983825039
0.0633224148962,0.192289958812
0.0695045297866,0.0925116985357
0.0539293297254,0.173005460782
0.0795172592942,0.150862439925
0.0794001997108,0.113382526137
0.103601683322,0.0940625752148
0.0621418524861,0.228409668405
0.0664741323194,0.0484971177734
0.0586477113224,0.0700468458533
0.0588844988291,0.287812908678
0.0718074587629,0.109859637786
0.0433166383751,0.30823195051
0.0480981747221,0.251954545215
0.0571208297746,0.158847840005
0.0527148108833,0.112238353718
0.108039224395,0.0402882774962
0.0670363744304,0.0825251437691
0.064562611159,0.1264444763
0.095602752891,0.0703616797672
0.0559140808964,0.114763250904
0.057696329759,0.0896356459078
0.0863325328339,0.185040710074
0.0684244190537,0.14370205831
0.0595416486538,0.281651273406
0.0570370754118,0.217198105027
0.0701124270704,0.0868164172079
0.0655147896749,0.121972989288
0.0741480740915,0.0844506183324
0.0598781678858,0.0812632064472
0.0814587853061,0.0478290808047
0.0716576654504,0.165411061738
0.0817727657324,0.063039235743
0.0609360751897,0.0862053699096
0.0756944120562,0.123650418782
0.0625710750276,0.166220167829
0.0778171239841,0.205108169667
0.071506866971,0.067525357097
0.0754874067928,0.0711609699581
0.0768360610148,0.0754858045801
0.183177866246,0.0664587250454
0.0882860014571,0.06593977187
0.0623255741929,0.17018166168
0.0811425974437,0.060063217006
0.063736397957,0.14039673261
0.0876523795269,0.0600886637503
0.0655788298353,0.141798879212
0.0585601819606,0.259118831645
0.0666331321729,0.0554747715395
0.0702204048489,0.22720282762
0.0626679442345,0.0490437767207
0.0665682795308,0.0852449136299

5-Fold RMSE:,0.0618712507072,0.0671296436344,0.063220948499,0.0599152770465,0.0599152770465
Average 5-Fold RMSE:,0.0702728853522

5-Fold rsquared:,0.309683157806,0.328089293257,0.261977075418,-0.101127675572,-0.101127675572
Average 5-Fold rsquared:,0.0802279762248
