totalLength,transError.std.mean
2976.70696807,0.778805
3339.01465467,0.522405666667
3674.54685049,0.611337304348
2587.25446388,0.3833542
409.860183458,0.198447578947
252.832909534,0.12269
326.784256607,0.153758035714
1921.35516902,0.492268548387
2116.13492361,0.531760416667
863.659269329,0.440496478261
845.090021745,0.30601326087
295.419139725,0.133319189189
506.321896435,0.194677542857
273.457946693,0.11035772
192.066214539,0.139761666667
468.518403292,0.178345722222
580.535894357,0.2198439
971.378772283,0.243437428571
1454.17383526,0.256086724138
1049.93660782,0.338521882353
3024.90660293,0.61062825
1742.8522031,0.359939652174
3579.87872165,0.708234558824
4286.82971454,0.628137071429
711.361982324,0.443055071429
3980.86440872,0.936557642857
2215.28095863,0.398797941176
2674.03601278,0.690604043478
889.381270016,0.404276533333
994.439580994,0.493052294118
566.001197687,0.232889238095
713.219408102,0.221677130435
1004.70151857,0.341540409091
2298.96506651,0.65674012
1290.05514031,0.423536259259
1093.26611061,0.4465398
1073.65959346,0.306929823529
2379.8461839,0.480697125
207.214315708,0.108247869565
794.76649585,0.236416833333
1344.58232881,0.405104185185
876.168728003,0.273577115385
3949.82841384,0.694026083333
1857.94252615,0.480950272727
888.639718829,0.326498583333
1481.43084603,0.4142652
2298.11261206,0.500458896552
2193.73950998,0.625794366667
786.593346386,0.379335257143
2003.81513074,0.487031439024
637.726898906,0.309707785714
3076.08125966,0.503770083333
500.537324732,0.218116833333
494.390148456,0.213804791667
1035.09066139,0.310407555556
2396.14078511,0.50208644
577.123513651,0.3024675
1415.71363081,0.464581966667
1392.02208715,0.379500214286
972.933103525,0.286365322581
445.408495107,0.19540578125
382.17641299,0.171382926829
1731.04519683,0.326238777778
916.588301973,0.287927933333
2114.07410152,0.50571615625
891.481124196,0.224714148148
2342.27101469,0.500257916667
330.137152444,0.153626448276
1479.91948991,0.398803653846
1097.1417249,0.341757914286
602.963843177,0.203370592593
1016.39541288,0.304974964286
693.217716208,0.17280424
2034.8306002,0.366907921053

5-Fold RMSE:,0.0852669067449,0.109105269252,0.0798733848383,0.0773046444003,0.0773046444003
Average 5-Fold RMSE:,0.0866760715237

5-Fold rsquared:,0.535983941236,0.828218199591,0.728960773433,0.79436907,0.79436907
Average 5-Fold rsquared:,0.715264101502
