voronoi_nodes,transError.std.std
640,0.210038240515
462,0.167837658831
256,0.230568556601
246,0.0888341978949
175,0.0536568207547
60,0.0531756045959
93,0.0388866547706
223,0.207135681695
395,0.204774691356
291,0.258492090208
163,0.0429963941514
113,0.0500640527086
105,0.160692173355
81,0.0364422115207
81,0.115579807708
115,0.0370592039719
85,0.0491585794691
70,0.0890782760547
228,0.0933187599678
289,0.138087316178
278,0.283472780901
156,0.155756377989
431,0.431148459783
244,0.301796672041
201,0.15137538147
337,1.02365065259
140,0.167680135625
154,0.390698889866
85,0.145785206544
250,0.23374692862
221,0.0547581142166
285,0.0669920319093
283,0.391347667119
190,0.258741211908
530,0.35561401166
427,0.382246016935
301,0.155138806672
350,0.177945288381
76,0.0530782981644
215,0.150426578073
230,0.21615872905
105,0.0819226964463
316,0.293317732168
295,0.127652611947
129,0.221674636893
211,0.0853392946102
278,0.357301613152
301,0.453233740742
189,0.179230997901
229,0.236587447923
174,0.110170635227
272,0.172007018126
143,0.0621497895481
183,0.171951321611
146,0.126944549297
263,0.109794391941
170,0.107098494917
250,0.151433371273
159,0.185990376251
191,0.064450068138
172,0.0692099506632
166,0.075847820682
22,0.115451416633
124,0.129796983767
253,0.239664370415
146,0.105334107197
243,0.149483092715
126,0.0596299714663
229,0.141523549212
281,0.242795647909
215,0.0743403423368
194,0.355724934863
246,0.0562958637779
222,0.116143743091

5-Fold RMSE:,0.101996833168,0.228830669656,0.0623994623627,0.0916609953082,0.0916609953082
Average 5-Fold RMSE:,0.115204441704

5-Fold rsquared:,0.313775062547,0.36433476243,0.0865240666261,-0.755620966011,-0.755620966011
Average 5-Fold rsquared:,-0.188461586459
