topology_diameter,rotError.mean.mean
7,0.00781177272727
6,0.00518106666667
5,0.00745268421053
6,0.00380332142857
2,0.00530514285714
6,0.0108654444444
5,0.0100377916667
7,0.00976259090909
6,0.00654347826087
6,0.00574740540541
6,0.0063216
6,0.00609472
5,0.00695146666667
2,0.00530697297297
3,0.00419643333333
2,0.00586774285714
8,0.0080334137931
2,0.00957582352941
6,0.0113755652174
4,0.00664728571429
5,0.00940933333333
4,0.00862580769231
4,0.0175163076923
5,0.00585915384615
4,0.0080592
4,0.00719391304348
2,0.0116620333333
8,0.0185035384615
13,0.00794823076923
6,0.00808536363636
6,0.00828783870968
7,0.0090522
8,0.0130484230769
8,0.0102915384615
8,0.0115043333333
8,0.0112823142857
4,0.00535094117647
8,0.0116517083333
7,0.00985292
4,0.00736969230769
8,0.0124235769231
6,0.0109033461538
5,0.00870517391304
12,0.00633515384615
4,0.0100060769231
7,0.00994803703704
8,0.0114515483871
4,0.00746737837838
3,0.0102650357143
8,0.0086655
4,0.0111931666667
5,0.00878128
6,0.00787177777778
8,0.0083908
5,0.013150075
7,0.0103568888889
6,0.00629451282051
10,0.0100887741935
6,0.0114415
4,0.0108286829268
6,0.00529
5,0.0074369
7,0.0108653666667
5,0.00650085185185
4,0.0107349090909
2,0.00662575862069
6,0.0108217916667
4,0.00683478125
5,0.00717885185185
6,0.0361834583333
5,0.00648584615385
4,0.00584372
5,0.0060295
7,0.0163589615385

5-Fold RMSE:,0.00420769684526,0.00312212065642,0.00178933851675,0.00724477489671,0.00724477489671
Average 5-Fold RMSE:,0.00383995063606

5-Fold rsquared:,-1.05443594393,-0.582406148078,-0.181618886331,0.00402669192656,0.00402669192656
Average 5-Fold rsquared:,-0.356499212161
